mmsi,time,status,speed,longitude,latitude,draft
215533000,1637049361,15,2,72.509514,21.673166,754634
215533000,1637050261,15,1,72.509514,21.673166,754634
215533000,1637053321,15,2,72.509499,21.673134,754634
215533000,1637055122,15,2,72.509537,21.673218,754634
215533000,1637056201,15,2,72.509552,21.673183,754634
215533000,1637058001,15,2,72.50943,21.673183,754634
215533000,1637059081,15,1,72.509483,21.673166,754634
215533000,1637060161,15,2,72.509499,21.673166,754634
215533000,1637061421,15,2,72.509499,21.673149,754634
215533000,1637062321,15,2,72.509499,21.673134,754634
215533000,1637066461,15,1,72.509514,21.673183,754634
215533000,1637067541,15,2,72.509514,21.673233,754634
215533000,1637069341,15,1,72.509499,21.673201,754634
215533000,1637071321,15,1,72.509514,21.673166,754634
215533000,1637073301,15,2,72.509499,21.673149,754634
215533000,1637074381,15,2,72.509514,21.673149,754634
215533000,1637075281,15,2,72.509514,21.673149,754634
215533000,1637076181,15,2,72.509499,21.673149,754634
215533000,1637078341,15,2,72.509514,21.673183,754634
215533000,1637079421,15,2,72.509514,21.673134,754634
215533000,1637080321,15,2,72.509499,21.673117,754634
215533000,1637081221,15,2,72.509514,21.673134,754634
215533000,1637085181,15,2,72.509499,21.673166,754634
215533000,1637086261,15,2,72.509537,21.673166,754634
215533000,1637087881,15,2,72.509514,21.673183,754634
215533000,1637088961,15,1,72.509537,21.673149,754634
215533000,1637090941,15,1,72.509499,21.673218,754634
215533000,1637092021,15,2,72.509537,21.673134,754634
215533000,1637094541,15,2,72.509514,21.673149,754634
215533000,1637095441,15,2,72.509499,21.673134,754634
215533000,1637096521,15,1,72.509483,21.673166,754634
215533000,1637100302,15,2,72.509514,21.673201,754634
215533000,1637101381,15,2,72.509499,21.673218,754634
215533000,1637103361,15,3,72.509537,21.673166,754634
215533000,1637104261,15,2,72.509514,21.673149,754634
215533000,1637105161,15,2,72.509514,21.673149,754634
215533000,1637107141,15,1,72.509514,21.673166,754634
215533000,1637108221,15,2,72.509499,21.673149,754634
215533000,1637110021,15,2,72.509499,21.673183,754634
215533000,1637111821,15,1,72.509499,21.673166,754634
215533000,1637112721,15,2,72.509514,21.673183,754634
215533000,1637113801,15,1,72.509499,21.673149,754634
215533000,1637114881,15,1,72.509537,21.673183,754634
215533000,1637117041,15,1,72.509537,21.673149,754634
215533000,1637118121,15,1,72.509537,21.673183,754634
215533000,1637119021,15,2,72.509514,21.673183,754634
215533000,1637120821,15,2,72.509499,21.673201,754634
228333700,1637076085,15,4,114.147423,22.156298,755713
228333700,1637077560,15,9,114.147186,22.159897,755713
228333700,1637077662,15,0,114.14724,22.160089,755713
228333700,1637078527,15,3,114.146713,22.159779,755713
228333700,1637079074,15,2,114.146248,22.160048,755713
228333700,1637079432,15,3,114.145943,22.160379,755713
228333700,1637079434,15,3,114.145943,22.160379,755713
228333700,1637080152,15,1,114.145538,22.160707,755713
228333700,1637080332,15,1,114.145493,22.160791,755713
228333700,1637080333,15,1,114.145493,22.160791,755713
228333700,1637080509,15,1,114.145462,22.160875,755713
228333700,1637081585,15,0,114.145271,22.161194,755713
228333700,1637082314,15,0,114.145317,22.161037,755713
228333700,1637082493,15,1,114.145332,22.161024,755713
228333700,1637083393,15,1,114.145248,22.161451,755713
228333700,1637083394,15,1,114.145248,22.161451,755713
228333700,1637083395,15,1,114.145248,22.161451,755713
228333700,1637083574,15,1,114.14521,22.161514,755713
228333700,1637083577,15,1,114.14521,22.161514,755713
228333700,1637084472,15,2,114.145401,22.160933,755713
228333700,1637085012,15,3,114.145462,22.160976,755713
228333700,1637085373,15,2,114.145317,22.161335,755713
228333700,1637085554,15,2,114.145195,22.16147,755713
228333700,1637086088,15,1,114.145378,22.161383,755713
228333700,1637086273,15,2,114.145332,22.16128,755713
228333700,1637086808,15,2,114.145386,22.161125,755713
228333700,1637087356,15,2,114.14518,22.161707,755713
228333700,1637087710,15,3,114.145363,22.161566,755713
228333700,1637088433,15,3,114.145424,22.160812,755713
228333700,1637088612,15,3,114.145454,22.161049,755713
228333700,1637088793,15,4,114.14537,22.161339,755713
228333700,1637089692,15,3,114.145409,22.160877,755713
228333700,1637089871,15,2,114.145309,22.160723,755713
228333700,1637090593,15,3,114.145187,22.161633,755713
228333700,1637091130,15,4,114.145393,22.161472,755713
228333700,1637092035,15,4,114.14534,22.161263,755713
228333700,1637092214,15,4,114.145264,22.161585,755713
228333700,1637093112,15,2,114.145309,22.160883,755713
228333700,1637093470,15,3,114.145378,22.160896,755713
228333700,1637094375,15,4,114.145447,22.161243,755713
228333700,1637094377,15,4,114.145447,22.161243,755713
228333700,1637095299,15,5,114.145325,22.161495,755713
228333700,1637096717,15,2,114.145271,22.160919,755713
